Date,Vendor,Memo,Amount,Category
2024-01-05,Bob's Burger Joint,Team lunch after project kickoff,54.20,Meals & Entertainment
2024-01-08,Amazon Web Services,EC2 compute - January billing,1240.00,Cloud & Hosting
2024-01-10,Adobe Inc,Creative Cloud annual subscription,599.88,Software & Subscriptions
2024-01-12,Pacific Gas & Electric,Office electricity bill - January,312.45,Utilities
2024-01-15,United Airlines,Flight to client site - SFO to LAX,389.00,Travel & Transportation
2024-01-18,Staples,Printer paper and office supplies,87.32,Office Supplies & Equipment
2024-01-20,Robertson & Associates,Monthly bookkeeping services,450.00,Legal & Professional Fees
2024-01-22,Brosnahan Insurance Agency,General liability insurance premium,2000.00,Insurance
2024-01-25,Google Ads,January PPC campaign,1500.00,Advertising & Marketing
2024-01-28,Hall Properties,Office rent - January,900.00,Rent & Facilities
2024-02-02,Bob's Burger Joint,Crew lunch - site visit,43.50,Meals & Entertainment
2024-02-05,Amazon Web Services,EC2 and S3 storage - February,1380.00,Cloud & Hosting
2024-02-08,Slack Technologies,Team messaging annual plan,960.00,Software & Subscriptions
2024-02-12,AT&T,Office telephone and internet,185.00,Utilities
2024-02-15,Marriott Hotels,Hotel stay - client meeting Sacramento,245.00,Travel & Transportation
2024-02-18,Home Depot,Landscaping tools and materials,634.00,Materials & Inventory
2024-02-20,Robertson & Associates,Bookkeeping - February,450.00,Legal & Professional Fees
2024-02-22,Brosnahan Insurance Agency,Workers compensation premium,1800.00,Insurance
2024-02-25,Facebook Ads,February social media ad campaign,800.00,Advertising & Marketing
2024-02-28,Hall Properties,Office rent - February,900.00,Rent & Facilities
2024-03-04,Amazon Web Services,AWS infrastructure - March,1190.00,Cloud & Hosting
2024-03-06,GitHub Inc,GitHub Teams plan - annual,444.00,Software & Subscriptions
2024-03-10,Pacific Gas & Electric,Electricity - March,298.70,Utilities
2024-03-14,Uber,Client site visits - March rides,156.40,Travel & Transportation
2024-03-18,Granite Suppliers Co,Stone and gravel for fountain project,2340.00,Materials & Inventory
2024-03-20,Robertson & Associates,Tax preparation and filing,1200.00,Legal & Professional Fees
2024-03-22,State Farm Insurance,Vehicle insurance - company truck,380.00,Insurance
2024-03-25,Google Ads,March PPC campaign,1750.00,Advertising & Marketing
2024-03-28,Hall Properties,Office rent - March,900.00,Rent & Facilities
2024-04-05,Amazon Web Services,AWS - April billing,1420.00,Cloud & Hosting
2024-04-08,Zoom Video,Zoom Pro annual subscription,179.90,Software & Subscriptions
2024-04-12,AT&T,Telephone and internet - April,185.00,Utilities
2024-04-15,Delta Airlines,Flight - project site inspection,412.00,Travel & Transportation
2024-04-18,Home Depot,Plants soil and garden materials,1890.00,Materials & Inventory
2024-04-20,Tim Philip Masonry,Subcontractor - retaining wall project,3500.00,Legal & Professional Fees
2024-04-22,Brosnahan Insurance Agency,Monthly premium installment,666.00,Insurance
2024-04-25,Yelp Advertising,Local business ad campaign,400.00,Advertising & Marketing
2024-04-28,Hall Properties,Office rent - April,900.00,Rent & Facilities
2024-05-05,Amazon Web Services,AWS compute and RDS - May,1560.00,Cloud & Hosting
2024-05-08,Figma,Design tool annual plan,576.00,Software & Subscriptions
2024-05-12,Pacific Gas & Electric,Electricity - May,275.80,Utilities
2024-05-16,Hertz Car Rental,Vehicle rental - site visits,320.00,Travel & Transportation
2024-05-20,Granite Suppliers Co,Gravel and decorative stone,1780.00,Materials & Inventory
2024-05-22,Robertson & Associates,Bookkeeping - May,450.00,Legal & Professional Fees
2024-05-24,Brosnahan Insurance Agency,Equipment insurance premium,520.00,Insurance
2024-05-28,Google Ads,May campaign - spring promotion,2100.00,Advertising & Marketing
2024-05-30,Hall Properties,Office rent - May,900.00,Rent & Facilities
2024-06-06,Amazon Web Services,AWS - June billing,1310.00,Cloud & Hosting
2024-06-09,Asana,Project management tool - annual,559.88,Software & Subscriptions
2024-06-12,AT&T,Telephone and internet - June,185.00,Utilities
2024-06-16,Southwest Airlines,Flight to trade show - Las Vegas,278.00,Travel & Transportation
2024-06-18,Home Depot,Summer planting materials and tools,2210.00,Materials & Inventory
2024-06-20,Tim Philip Masonry,Subcontractor - patio project phase 2,4200.00,Legal & Professional Fees
2024-06-22,State Farm Insurance,Quarterly vehicle insurance,380.00,Insurance
2024-06-26,Google Ads,June ad campaign - summer sale,1900.00,Advertising & Marketing
2024-06-28,Hall Properties,Office rent - June,900.00,Rent & Facilities
2024-06-30,Starbucks,Coffee meeting with new prospect,32.50,Meals & Entertainment
